,log2FoldChange,padj,number
ABCA8,-1.113058163912387,0.0006906274677858234,10351.1
ABCB1,-0.8749970004163286,2.3441560997883447e-05,5243.1
ABCB11,-1.0923463243774867,0.0003285012220352846,8647.1
ACAA2,-0.829146842777032,2.477650068558805e-06,10449.1
ACAT1,-0.8373362114085008,1.0113596877087366e-07,38.1
ACOT11,-0.7862060574810451,7.833509001580843e-06,26027.1
ACOT13,-0.7065188604438736,2.2213729817633643e-05,55856.1
ACOX1,-0.8674863280283458,4.562384780361019e-05,51.2
ACSF2,-1.0013452187474645,1.0423530900574683e-08,80221.1
ACSL5,-0.7987124271964293,6.73821902881239e-07,51703.1
ADA,0.6291560861051819,0.00024506428354973206,100.1
ADH1C,-1.373263710410497,4.335883800368421e-05,126.1
ADSSL1,-0.8648460467587776,0.0038112426048932477,122622.2
AGMAT,-0.7184762189971068,5.140295447966485e-06,79814.1
AHCYL2,-0.888458491255831,4.0889804120024283e-07,23382.1
AK3,-0.5962240149228616,2.6235032893978996e-06,50808.1
AK4,-0.6291862343318936,0.0007922448974457294,100507855.1
AKR1B10,-1.3254128017933826,0.0008664466675340186,57016.1
AKR1C3,-0.7368357574550907,0.00177403263319823,8644.1
AKR7A3,-0.6836364214081777,0.0005398765800455178,22977.1
ALDOB,0.72768524887887,0.22327747466256997,229.1
AQP8,-1.3956667370648494,0.0003853802687897407,343.1
ASNS,0.7705161639516661,1.4516857465317245e-05,440.2
ATP1A1,-0.8062963723378311,1.2260475862061982e-07,476.1
ATP1B1,-1.231034025711696,1.7139669848877823e-06,481.1
ATP8B1,-0.715455070638583,6.637434145721102e-05,5205.1
B4GALNT2,-1.2146352634456643,0.002296245227099939,124872.1
BCAT2,-0.6604680662817453,3.2530585658056903e-07,587.1
BDH1,-0.9713686152417659,2.378358533581867e-06,622.1
CA1,-0.9756065565722639,0.0004380094817460969,759.1
CA12,-1.0553004467595208,4.6006410429938646e-07,771.2
CA4,-0.8952151678106175,0.002150187997430348,762.1
CASK,-1.2112808843887595,1.734684348193437e-05,8573.1
CD36,-0.6090330220309035,0.0001224436051626066,948.1
CD38,1.3634402429197658,2.0499095105036256e-07,952.1
CES2,-1.2433660775804278,5.328558460751507e-08,8824.1
CLC,1.0360812771161028,0.027082432731068366,1178.1
CLYBL,-0.7255582181415242,0.0004981347177263989,171425.2
COX5A,-0.8141968712490792,0.00012417359645428865,9377.1
COX5B,-0.6327273541143521,1.1850979921554633e-05,1329.1
COX6B1,-0.6163703494876804,3.99093470339856e-05,1340.1
COX6C,-0.7654005819627224,0.0002711251596431201,1345.1
COX7A2,-0.9656856663014826,2.012797337965562e-05,1347.1
COX7C,-0.7041218426642546,2.477934784267591e-05,1350.1
CPT1A,-0.7661830949072582,4.840875781537423e-07,1374.1
CPT2,-0.7651995029892458,3.713632685120317e-06,1376.1
CTSG,0.9979354696002279,0.010480697992178156,1511.1
CTSZ,-0.8206036055459379,0.001187315977950928,1522.1
CYP27A1,-0.6085710012617643,0.0006887377386353043,1593.1
CYP2S1,-0.6855494059362023,8.131419145513673e-05,29785.1
CYP7B1,0.6999957436673964,0.00787730057835624,9420.1
DDAH1,-0.8463321317503981,4.9410642536203087e-08,23576.1
DDC,-0.5880379956073702,4.300474927989643e-05,1644.1
DUOX2,1.4680671386458501,3.66352377748299e-05,50506.1
ECH1,-0.6316987519020889,2.1878308159504304e-06,1891.1
ECHS1,-0.800648656169216,0.0001642895726898279,1892.1
EHHADH,-0.5662499987704036,1.2865001443846337e-05,1962.1
ENTPD5,-1.2758037793900265,2.3232817741390612e-08,957.1
EPHX2,-0.8957277596346049,1.487520378185443e-06,2053.1
EPX,0.5828931544431821,0.10124924801858573,8288.1
ETFA,-0.6634195332510514,6.842688732572396e-08,2108.1
ETFDH,-0.8293442181857021,8.505949305369008e-09,2110.1
F13A1,-0.6579823829370893,0.009619336380499893,2162.1
FABP1,-2.525562918371111,5.528384565892944e-07,2168.1
FABP2,-1.0643230156506591,0.0019637291222955695,2169.1
FABP4,-0.7104936451132283,0.007248795223451377,2167.1
FABP5,-0.8500929330893949,7.472842620442186e-05,2171.1
FKBP11,1.2814193268213796,1.3832357002763037e-05,51303.1
FMO5,-0.7342750737950408,2.61463750101815e-05,2330.1
FTH1,0.6243723250940831,0.015910436522810472,2495.1
FUCA1,-1.4390151156393363,2.9892588038106043e-05,2517.1
FUCA2,-0.7120478713817114,0.00013997454126478786,2519.1
GLRX,0.7084521289232624,3.072911443014674e-05,2745.1
HADH,-0.8896207193591119,8.017370962415355e-06,3033.1
HADHA,-0.6375312334242988,1.3657389684237721e-07,3030.1
HADHB,-0.584987748105287,5.4815924453225e-07,3032.1
HDLBP,0.5426542721020361,8.227610653403267e-07,3069.1
HEXB,-0.6597385492955553,3.190971656624e-05,3074.1
HK3,0.8505274172722257,0.00017080978312512409,3101.1
HMGCL,-0.7410759112599695,1.503499891014106e-07,3155.1
HMGCS2,-3.0943471904971265,3.844315835438775e-07,3158.1
HSD11B2,-1.3675158617888248,1.4667153794563194e-05,3291.1
HSD17B11,-0.7172707953764259,1.953896267530726e-05,51170.1
HSD17B2,-1.1659943281918608,4.954570866937252e-06,3294.1
IDO1,0.9168205572277016,0.0023458440636322025,3620.1
ITPKA,-0.7575743169771804,0.006170780190693099,3706.1
KYNU,1.0784800409518782,0.0006197217320183,8942.1
LDHD,-0.9090436203366012,7.434605100894672e-05,197257.2
LGMN,-0.8306650211650285,0.00561760422752707,5641.1
LIPA,-0.6368334094029227,0.005840142977459481,3988.1
MAOA,-1.2032361420955566,4.756421743347421e-07,4128.1
MGST1,-0.7482481915309922,0.0013270458136505757,4257.1
MGST3,-0.9282730210282049,4.048638873252825e-08,4259.1
MPO,1.6868545743255567,0.00011738164601180595,4353.1
MPST,-0.7343758778085926,5.111079109580664e-06,4357.1
NAGA,-0.5921186747945747,2.3608588326331013e-05,4668.1
NDUFA5,-0.6554168956261704,2.1832737378607667e-05,4698.1
NDUFAB1,-0.7276614238903213,0.02215393823223948,4706.1
NNMT,0.9756008405454807,5.40365439754142e-05,4837.1
NOS2,1.0064919263196845,0.0002468351137299594,4843.1
OGDH,-1.0181561124789102,2.0635144192802926e-06,4967.2
OTC,-0.6692236346796646,0.0026264031300846924,5009.1
P4HB,0.6602532362852563,1.2151841765693106e-07,5034.1
PADI2,-1.3441609433452943,9.942124636475868e-08,11240.1
PADI4,1.2687457760856085,0.0008576538312241113,23569.1
PAPSS2,-0.7625708905526389,2.5821579523443254e-05,9060.1
PCCA,-0.6369298730043625,3.755027658463908e-07,5095.1
PCCB,-0.7925518917378406,8.963678987102776e-08,5096.1
PCK1,-1.182664900997493,2.3461618648534213e-08,5105.1
PCK2,-0.8434040476573387,1.4458474944053835e-07,5106.1
PDIA6,0.6255604021965365,1.1445659303175527e-05,10130.1
PECR,-0.5501143360679486,5.384505433950924e-05,55825.1
PHYH,-0.6579823829370893,0.02295590676981342,5264.1
PLA2G1B,-1.4244243288844336,0.06676141400435884,5319.1
PLA2G7,0.7197441969863982,0.11448631302872203,7941.1
PLCD1,-0.6909705347319842,0.0035854187701327657,5333.1
PLCG2,0.6844507248548867,6.457199119606576e-07,5336.1
PLCH1,0.8687894727040709,7.88605217002831e-07,23007.1
PNLIP,-1.297062366052994,0.005124153184001458,5406.1
PRKCB,0.6932839901811411,8.66407758882003e-05,5579.1
PTP4A1,-0.7261666628009588,0.0019176400300188543,7803.1
PTPN1,0.6034162673598199,4.800862796147645e-07,5770.1
PTPN6,0.6405931658370697,6.312270673368443e-05,5777.1
PTPRC,0.746794301090551,3.926017153186727e-05,5788.1
RDH13,-0.5998140435019814,0.00015922217564532209,112724.1
RPL14,1.669507583724676,0.19764159792676636,9045.1
SCARF2,-0.7352233900282819,0.09548367390347963,91179.1
SCP2,-0.6244945317623493,1.0412536969348182e-05,6342.1
SDHB,-0.6791364296197168,1.137036669070771e-05,6390.1
SDHD,-0.7713031935296273,0.000612543866092281,6392.1
SIAE,-1.3234437205230758,1.9833664950805365e-07,54414.1
SLC16A1,-1.0072315692310758,0.00017801726820321025,6566.1
SLC25A5,-0.6101072420587362,9.159901862888887e-05,292.1
SLC26A2,-2.0324477087497677,9.021998177197196e-09,1836.1
SLC38A5,1.1820693255257428,0.00039147065525165035,92745.1
SLC3A2,0.5691313455160029,2.407070764826369e-06,6520.1
SLC4A2,0.9434562894672776,0.023938912642419007,6522.1
SLC7A5,1.0286186555890522,0.0005902998085761487,8140.1
SOD2,0.8905322984769257,0.0007554779217805992,6648.1
SPCS1,0.7062255154428372,6.727512522252565e-05,28972.1
SPCS2,0.7737094449444206,2.2374245836560157e-05,9789.1
SPCS3,0.7344906932696382,1.3264755533271422e-05,60559.1
SRM,0.7517636265903765,1.7622312185339296e-08,6723.1
ST6GAL1,0.7060398091069624,6.134051521388656e-05,6480.2
STS,0.5992606561295187,0.001864541687601027,412.1
SUCLG1,-0.8585750569345204,7.729124923550346e-07,8802.1
SUCLG2,-1.0497645261823105,1.071983379107243e-06,8801.1
SULT1B1,-1.0811802588481039,6.965682908032313e-07,27284.1
TST,-0.965927997771131,8.161236186603236e-07,7263.1
TXN,-0.7463253179269137,4.862295045177894e-06,7295.1
UBE2J1,0.6107756433921627,0.00017037306931250802,51465.1
UBE2L6,0.9221064875063311,1.1394099696798093e-06,9246.1
UGDH,-1.261313431906031,9.025876791910923e-07,7358.1
UGP2,-0.7594878289123781,2.1773868496439215e-05,7360.2
UGT2A3,-1.531055989163568,3.22584732108269e-07,79799.1
UQCRB,-0.6326468283544214,4.106312668913687e-05,7381.1
VNN2,0.779873234407684,0.0790653937452226,8875.1
WARS,0.8065220405507878,0.0001001922217071347,7453.1
